티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,11.42,21013561,19927900,0.0
005930,삼성전자,54.96,15443968,15141480,0.0
079031,ADVANCED MICRO DEVICES,57.63,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,16.07,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,125.88,0,0,0.0
326541,ANALOG DEVICES INC,26.12,0,0,0.0
382221,APPLIED MATERIALS INC,6.11,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,26.07,0,0,0.0
070341,BAIDU INC-CLASS A,126.9,0,0,0.0
937121,BLOOM ENERGY CORP- A,21.1,0,0,0.0
1135F1,BROADCOM INC,5.7,0,0,0.0
717793,CIENA CORP,8.54,0,0,0.0
9247G1,COHERENT CORP,12.68,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,12.07,0,0,0.0
999081,COMFORT SYSTEMS USA INC,1.22,0,0,0.0
1873S1,COREWEAVE INC-CL A,17.7,0,0,0.0
193501,CORNING INC,12.64,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,14.08,0,0,0.0
1816X1,FIREFLY AEROSPACE INC,119.29,0,0,0.0
811000,FUJIKURA LTD,57.1,0,0,0.0
6828A1,GE VERNOVA INC,4.02,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,128.48,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,69.59,0,0,0.0
581401,INTEL CORP,51.0,0,0,0.0
824801,KLA CORP,1.48,0,0,0.0
128073,LAM RESEARCH CORP,9.36,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,5.21,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,7.49,0,0,0.0
738741,MARVELL TECHNOLOGY INC,14.9,0,0,0.0
763231,MASTEC INC,5.42,0,0,0.0
0937P1,MONGODB INC,34.93,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,142.76,0,0,0.0
7066G1,NVIDIA CORP,32.28,0,0,0.0
833441,ONTO INNOVATION INC,9.57,0,0,0.0
8389X1,ORACLE CORP,13.19,0,0,0.0
2703X1,PLANET LABS PBC,120.54,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,29.69,0,0,0.0
731211,ROCKET LAB CORP,43.2,0,0,0.0
0004C2,SANDISK CORP,21.18,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,14.75,0,0,0.0
807701,TERADYNE INC,7.57,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,13.27,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,14.53,0,0,0.0
100000,WEICHAI POWER CO LTD-H,428.27,0,0,0.0
010010,원화현금,0.0,0,-801575,0.0
H00000,설정현금액,0.0,0,363468390,0.0
