티커,구성종목명,계약수,금액,시가총액,비중
005930,삼성전자,123.0,31365000,30012000,0.0
000660,SK하이닉스,16.0,29472000,28224000,0.0
009150,삼성전기,19.0,24263000,24225000,0.0
095610,테스,101.0,19624300,17250800,0.0
356860,티엘비,89.0,3408700,2968150,0.0
079031,ADVANCED MICRO DEVICES,161.16,0,0,0.0
122400,ADVANTEST CORP,88.89,0,0,0.0
382221,APPLIED MATERIALS INC,28.21,0,0,0.0
420682,ARM Holdings PLC,114.34,0,0,0.0
070592,ASML HOLDING,11.74,0,0,0.0
3823U1,Applied Optoelectronics Inc,208.45,0,0,0.0
4626A1,Astera Labs Inc,47.14,0,0,0.0
937121,BLOOM ENERGY CORPORATION,140.85,0,0,0.0
9247G1,COHERENT CORP,23.21,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,23.42,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,71.69,0,0,0.0
1873S1,Coreweave Inc,65.46,0,0,0.0
3804L1,DATADOG INC - CLASS A,203.0,0,0,0.0
4703L2,Dell Technologies Inc,23.6,0,0,0.0
6828A1,GE Vernova LLC,1.8,0,0,0.0
581401,INTEL Corp,755.3,0,0,0.0
236330,Kioxia Holdings Corp,151.2,0,0,0.0
128073,LAM RESEARCH,90.63,0,0,0.0
5024U1,Lumentum Holdings Inc,35.57,0,0,0.0
738741,MARVELL TECHNOLOGY INC,35.37,0,0,0.0
951121,MICRON TECH,37.16,0,0,0.0
0937P1,MONGODB INC,135.94,0,0,0.0
4110D1,NETAPP INC,159.77,0,0,0.0
974351,PALO ALTO NETWORKS INC,22.1,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,70.39,0,0,0.0
8392B2,SK hynix Inc,137.67,0,0,0.0
0004C2,Sandisk Corp/DE,32.75,0,0,0.0
334451,Snowflake Inc   - CL A,304.78,0,0,0.0
4615Q1,Space Exploration Technologies Corp,49.99,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,8.46,0,0,0.0
807701,TERADYNE INC,21.81,0,0,0.0
8160R1,TESLA MOTORS,38.83,0,0,0.0
581021,WESTERN DIGITAL,107.49,0,0,0.0
009805,YANDEX NV-A,26.93,0,0,0.0
010010,원화현금,0.0,0,37363123,0.0
H00000,설정현금액,0.0,0,1590309315,0.0
